F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,Target
0.04,-2.06,3.4,8,-7.3,-850.8,87.36,Rest,2,731.37,-276.96,6,-1545.48,-24.39,Very high,32180.64,2765.33
1.98,0.32,7.7,2.68,-4.24,-858,121.64,Europe,2,1847.73,-329.49,6,-2572.96,-19.57,Medium,18120.87,0
0.05,2.98,6.48,3.81,-13.24,-817.14,159.2,UK,5,2276.49,-189.96,14,-2134.34,-33.22,High,26049.6,203.69
1.41,-6.94,6.88,7.59,-4.74,-792.6,207.52,Europe,2,1020.12,-193.98,6,-2346.52,-21.85,Medium,14736.78,868.75
4.95,2.64,3.2,2.18,-7.5,-806.07,66.42,UK,6,2014.41,-426.3,8,-599.14,-18.34,High,25009.35,968.46
0.01,5.16,7.4,6.48,-13.8,-853.92,198.82,Europe,2,1239.21,-295.44,6,-2194.9,-22.57,Very high,39335.07,1043.89
11.37,-4.65,4.36,4.35,-10.18,-910.47,89.5,Europe,8,487.08,-283.5,12,-2520.48,-18.01,High,20991.93,282.37
143.69,-2.78,1.72,0.75,-14.94,-783.63,88.52,Europe,2,1624.53,-124.47,6,-966.9,-21.47,Very low,31102.53,0
3.54,-0.87,5.92,9.99,-7.94,-987.63,171.98,USA,2,1175.49,-369.27,14,-1968.42,-15.12,Very low,38512.38,737.1
0.02,-0.43,6.08,3.53,-12.14,-843.9,208,USA,3,2422.8,-302.91,8,-1599.08,-20.91,High,33915.69,1219.22
19.19,-0.78,17.58,3.2,1.94,-869.97,129.68,UK,3,2568.09,-219.39,10,-2752.46,-25.55,Medium,12574.44,0
0.39,3.12,11.36,4.82,2.86,-778.08,114.02,Rest,0,817.23,-247.26,4,-2928.8,-11.15,Very low,17968.44,17.45
157.91,6.15,13.9,6.72,-13.5,-744.9,126.56,USA,2,859.2,-234.18,2,-1337.66,-16.37,Very low,33181.35,1893.3
2537.86,-0.77,10.94,2.97,-19.7,-772.98,87.78,UK,1,1984.56,-421.92,10,-2786.02,-19.23,Very high,31214.34,0
0.01,-1.24,8.22,1.93,-14.66,-778.56,141.14,UK,2,1659.18,-235.29,6,-2368,-14.38,Medium,23394.06,0
0.01,-0.55,2.08,9.74,-3.44,-863.1,27.8,UK,3,2381.4,-370.65,10,-2828.54,-19.72,Very high,36259.23,0
0.15,0.29,5.42,5.83,-12.44,-859.74,95.24,Europe,4,1135.05,-413.64,6,-2248.52,-18.75,Low,21991.86,207.06
0,-0.66,4.06,2.42,-12.02,-876.93,184.76,UK,4,1402.62,-313.02,14,-1654.56,-20.58,Medium,24224.76,484.93
0.02,7.95,3.36,7.8,-13.56,-788.31,109.22,UK,4,1103.22,-289.5,10,-2173.6,-18.58,High,22237.92,1058.94
0,-1.96,16.3,1.43,-16.22,-690.15,98.36,Rest,6,1476.9,-421.32,12,-2218.92,-20.05,Very low,24804.33,298.69
1.96,-0.92,1.46,1.16,-14.04,-867.99,92.58,Europe,6,1658.49,-430.92,0,-1629.16,-17.56,Low,38731.38,211.74
9.7,-1.11,10.84,5.49,-21.62,-908.25,172.54,Europe,6,1449.99,-505.65,8,-1781.6,-15.94,Very high,36689.13,1411.97
1.93,0.58,11.98,11.71,-9.44,-782.25,158.2,Rest,4,475.5,-227.67,10,-1614.68,-19.78,Medium,22745.52,3774.55
0.77,4.35,20.24,6.49,-5.5,-764.31,250.48,UK,3,1688.7,-238.68,6,-2382.94,-28.04,Very low,7241.25,2853.23
1.83,-6.14,10.24,10.03,-9.12,-960.78,132.8,USA,4,1141.35,-300.57,6,-2659.94,-28.28,Very high,6575.7,1949.75
0.48,-0.1,6.66,5.31,-12.2,-773.22,52.3,Europe,7,999.96,-390.9,8,-2017.4,-20.14,Very low,33311.16,177.87
0.15,-3.06,2.98,2.32,-9.72,-801.96,128.68,Rest,5,1590.09,-421.92,10,-2554.6,-19.97,Medium,22725.24,0
2.17,5.28,11.38,3.65,-10.48,-421.05,6.38,USA,6,2864.1,-374.16,8,-1688.34,-23.74,High,7368.81,164.72
9.4,3.13,3.28,0.67,-8.88,-844.23,200.36,USA,3,322.83,-457.2,18,-2692.3,-18.43,Medium,20291.19,0
13.5,2.58,12.44,3.41,-2.4,-825.57,251.24,Europe,6,1786.47,-486.84,8,-1302.32,-22.5,Low,27075.03,1535.38
33.99,-2.94,7.66,4.96,-5.04,-858.27,69.38,Europe,3,1287.21,-214.02,8,-2462.04,-17.72,Low,15473.46,0
0,0.94,4.56,5.31,-5.88,-776.16,142.74,Rest,4,1043.28,-481.62,8,-2108.58,-22.7,Medium,13480.71,1524.98
1.19,0.67,4.82,6.73,-8.1,-1066.89,138.38,Rest,5,584.61,-348.48,4,-3091.18,-19.58,Very high,27697.68,2870.06
0.13,0.25,0.48,5.27,-25.56,-854.97,13.78,Europe,3,1415.04,-257.88,8,-1048.16,-18.33,Medium,23379.09,0
0.71,-1.47,9.62,3.3,-3.9,-786.48,177.9,Rest,3,499.8,-367.71,2,-1587,-12.5,Very high,28183.65,3746.13
113.8,-0.74,7.56,1.27,-3.76,-870.21,71.6,Rest,5,2609.55,-403.62,6,-2060.24,-20.47,High,25869.15,0
2.13,-2.59,5.68,5.28,-9.26,-980.85,240.38,UK,5,2167.11,-428.85,8,-1749.84,-19.85,Low,-8418.69,2364.4
0.09,2.15,1.48,5.24,-20.16,-869.67,128.02,USA,2,1045.05,-306.18,10,-2300.96,-17.11,Very high,30670.83,319.78
0.15,-0.78,7.58,7.46,-10.64,-846.3,151.64,Rest,6,-854.37,-300.66,4,-1202.52,-19.01,High,-971.34,3796.49
38.52,-7.9,7.92,1.67,-7.22,-881.16,170.82,Rest,3,970.08,-450.45,6,-2970.76,-12.3,Medium,-9439.74,343.95
0.01,1.5,5.72,0.89,2.84,-836.4,178.6,USA,4,1085.28,-267.51,6,-2051.48,-15.33,High,10796.22,1051.99
13.01,-1.98,12.54,5.66,-0.24,-805.74,80.4,Rest,2,562.23,-197.91,6,-2739.62,-29.17,Medium,24255.66,768.95
0.03,-1.66,7,3,-21.4,-713.25,169.22,Rest,6,1707.99,-386.79,6,-1895.7,-20.19,Medium,19250.22,2771.1
0.43,-4.63,0.5,5.49,-10.34,-689.94,131.72,UK,3,2842.56,-372.06,18,-1233.28,-26.71,High,17167.17,0
5.54,-2.98,6.16,1.46,-8.04,-820.5,104.4,UK,1,1643.37,-333.75,6,-2069.08,-18.31,Very low,22700.7,0
3.42,-1.63,5.78,2.12,-10.04,-787.08,122.88,UK,4,1393.44,-320.67,4,-1868.12,-22.65,Low,24094.95,413.09
0.08,-4.98,3.2,0.98,-13.8,-772.17,216.6,Europe,3,484.38,-447,6,-2316.64,-15.62,Low,18490.32,322.29
0.3,3.87,9.72,1.96,-9.06,-901.74,60.92,UK,5,2161.77,-395.31,14,-1833.38,-19.04,High,21366,0
0.01,3.25,7.96,3.41,-11.6,-983.1,152.8,Europe,6,1878.63,-253.53,2,-2807.12,-26.18,Very high,25848.03,737.85
0.67,6.59,1.28,5.34,-8.16,-834.57,139.84,Rest,3,1132.2,-215.52,12,-1694.88,-18.69,Very low,52699.44,4.3
0.03,7.33,2.44,5.49,-9.78,-745.8,216.84,USA,6,1637.52,-276.54,6,-960.56,-17.52,High,22545.63,2468.4
0.01,1.87,12.18,0.41,-21.76,-794.16,169.36,UK,5,2491.32,-387.6,6,-1577.92,-20.93,High,25129.35,2137.38
1.61,1.06,16.78,1.89,-5.22,-1035.06,159.54,USA,6,2181.06,-531.3,4,-1991.06,-19.58,Very high,22755.51,2121.36
0.68,0.6,10.72,1.89,-7.96,-838.17,110.92,Rest,5,844.74,-270.6,4,-2342.64,-22.04,High,39179.25,2315.23
144.08,4.68,15.32,2.98,-5.94,-694.89,37.16,UK,3,1591.83,-332.34,6,-1963.52,-10.08,Low,42659.04,0
0.03,0.71,11.88,2.41,-5.32,-829.35,55.98,Europe,4,1198.38,-265.14,12,-2339.78,-19.02,Very low,15747.12,0
2.91,-0.19,4.32,2.17,-16.38,-784.71,146.42,Europe,7,916.95,-350.4,6,-3119.28,-18.75,High,24887.49,294.22
9.34,2.75,12.48,4.69,-14.2,-748.08,99.94,Europe,1,1553.52,-407.64,6,-1870.36,-20.85,Medium,14145.72,321.58
1.08,7.03,12.68,6.55,-15.7,-809.73,69.04,Europe,3,1917.33,-406.74,10,-1967.64,-20.76,Very high,35532.03,417.29
6.31,3.01,5.4,3.87,-15.3,-971.07,73.34,Europe,7,-464.55,-291.66,10,-2578.52,-23.6,Very high,18974.37,461.1
0.51,2.2,4.1,0.88,-9.82,-692.07,105.9,UK,3,1771.14,-272.01,4,-2941.5,-18.97,Low,29455.59,0
0,3.61,14.14,1.79,-8.22,-783.9,264.92,UK,4,1799.64,-371.61,16,-2075.22,-21.11,High,25948.26,2319.48
15.56,2.18,21.92,1.53,-6.62,-655.71,194.18,UK,4,1388.4,-281.91,2,-1978.64,-10.47,Low,12365.37,2840.49
0.06,0.41,5.78,2.37,-8.58,-728.82,86.52,Europe,3,496.2,-160.89,6,-1750.2,-9.23,Very high,21319.17,409.9
971.84,-1.68,2.48,4.73,-7.92,-832.35,57.82,USA,3,1692.75,-398.67,8,-1964.14,-10.77,Very low,36851.4,0
0.02,0.25,10.52,4.74,-7.04,-447.27,62.06,Rest,3,2128.68,-247.86,4,-2076.5,-24.45,High,8968.44,785.02
0,-2.72,27.36,3.08,-9.96,-750.93,157.88,UK,3,1631.16,-281.31,2,-3120.44,-19.28,Medium,22130.52,2689.26
33.56,1.72,4.32,0.46,-6.08,-910.2,86.84,Europe,1,1084.17,-313.35,12,-2539.3,-21.18,Medium,51489.12,0
8.43,4.07,13.42,2.81,-6.5,-605.91,105.88,UK,4,4330.17,-348.21,6,-2799.52,-11.4,Very low,22690.8,0
2.44,-0.45,8.48,0.69,-7.2,-816.42,83.04,UK,4,392.22,-371.76,20,-2104.94,-18.04,Very high,20174.13,0
0,0.94,6.66,0.55,-5.96,-1036.5,165.18,Europe,3,1840.68,-551.13,10,-1921.4,-23.13,Low,27776.28,25.89
4332.09,2.75,6.48,5.46,-8.52,-474.99,118.26,UK,5,2876.28,-353.22,10,-2585.52,-22.76,Very high,15781.71,0
0.69,0.16,4.36,2.06,-10.4,-901.38,119.26,USA,3,1964.67,-379.47,6,-1490.66,-21.31,Medium,32945.67,323.67
3.21,-3.41,4.88,8.7,-14.54,-816.72,166.22,Rest,7,-68.73,-250.41,6,-2669.42,-20.72,Very low,23698.62,3417.85
1.22,-3.86,20.14,8.09,-7.48,-744.51,130.22,Rest,4,1998.39,-200.76,6,-2142.42,-14.15,Medium,29535.87,3665.47
34.58,-0.34,3.38,3.59,-19.74,-243.84,150.92,USA,3,1169.46,-294.72,10,-2098.2,-11.94,Very high,37780.14,620.51
0.35,-4.36,20.78,1.85,-12.74,-840.27,68.56,Rest,4,450.63,-596.46,6,-2079.24,-21.7,Very low,23914.71,1862.98
32.39,-4.5,15.08,2.71,-3.26,-765.9,225.78,Rest,7,2554.26,-490.89,6,-1480.76,-19.71,Low,41045.82,3717.51
0.09,1.5,19.82,1.09,-14.62,-914.52,90,USA,3,2623.62,-516.63,6,-1949.34,-20.48,Very low,48914.31,287.79
0.01,-1.38,1.56,1.85,-10.5,-1011.27,182.68,Europe,3,1613.37,-283.68,6,-948.26,-27.37,Very high,22252.8,756.18
290.13,5.02,19.36,4.21,-6.02,-1021.95,223.3,UK,6,1959.81,-215.13,10,-2169.96,-19.92,High,30879.51,2872.69
113.37,3.06,2.72,0.38,-23.3,-719.58,38.48,USA,3,1761.66,-221.94,10,-1412.04,-18.96,Low,40021.02,0
0.21,-3.91,6.92,1.45,-10.74,-791.37,63.36,USA,6,-179.31,-420.72,4,-1452.18,-18.91,Very low,8516.61,886.17
0.07,-0.96,1.42,8.25,-18,-947.43,130.74,Rest,4,1864.65,-377.22,8,-3223.58,-15.49,Medium,32797.86,1.14
1.16,-7.55,11.54,0.55,-24.28,-728.22,19.12,Rest,4,1005.06,-462.18,8,-1855.74,-19.79,Low,20692.53,0
0.14,-0.1,8.44,6.63,-11.88,-816.36,252.48,Rest,4,3390.78,-286.29,2,-1930.72,-19.76,Low,25772.61,3554.53
76.82,1.04,4.06,2.06,-5.4,-875.88,229.54,Rest,1,1695.75,-346.77,12,-2519.4,-20,Very low,51769.26,0
129.72,0.1,3.88,1.95,-8.48,-758.52,122.24,USA,6,720.84,-317.55,6,-2378.74,-24.58,Very high,32146.59,901.44
0.21,3.25,25.14,4.77,-2.5,-763.74,91.96,USA,4,424.41,-370.86,4,-1721.06,-23.17,Medium,10409.82,2629.34
0.17,0.62,12.86,0.37,-13.56,-838.89,126.68,USA,6,1085.04,-479.94,2,-2919.72,-20.98,High,19215.21,1140.17
0.03,2.64,10.08,2.89,-10.12,-621.36,85.66,USA,4,1014.48,-378.99,4,-2218.22,-22.22,Very low,20919.57,396.72
0.01,-4.37,4.98,1.2,-11.64,-1024.62,91.78,Europe,1,1684.14,-413.82,6,-1714.46,-10.91,Medium,26613.93,0
69.11,3.59,5.68,1.91,-1.36,-820.56,78.84,UK,4,1397.52,-442.29,12,-2434.02,-22.45,High,19092.48,0
0.32,4.1,11,4.58,-6.58,-962.07,192.84,UK,3,1250.1,-177.06,4,-2742.88,-18.87,Very high,28190.73,2533.83
5.95,1.33,8.08,1.11,-12.62,-804.36,197.8,USA,5,1685.34,-190.68,12,-1821.36,-17.4,Very low,18274.14,474.22
0.01,-0.63,2.84,5.42,-11.36,-824.1,132.5,USA,5,647.85,-438.81,8,-1692.18,-17.32,Medium,13500.63,1199.99
5.12,2.2,16.06,0.48,-8.06,-1027.23,110.2,Rest,3,3088.56,-465.81,12,-2141.56,-14.36,Very high,22602.93,41.6
0.28,0.12,8.7,5.25,-14.02,-901.53,139.04,UK,5,2655.12,-360.84,2,-2433.8,-17.75,Very low,22415.82,779.08
6.4,-1.12,3.56,4.02,-8.06,-957.6,206.3,Rest,6,741.15,-294.27,12,-3722.12,-20.36,Very high,5812.38,763.04
0,0.47,5.82,5.96,-18.32,-643.17,132.46,USA,6,115.14,-222.6,4,-2929.16,-12.76,Low,29913.06,1208.17
1.87,1.8,7.94,4.65,-11.92,-737.55,154.56,UK,2,1898.04,-354.24,16,-2464.96,-24.79,Low,35112.93,0
2.19,-0,14.3,4.38,-6.12,-817.53,108.94,USA,8,1365.78,-215.79,8,-1692.04,-16.38,Medium,24940.86,1886.84
0.2,-4.16,9.2,2.79,-7.94,-846.15,98.82,Rest,4,1835.82,-270.12,8,-2549.02,-18.25,Very low,20665.47,0
0,1.92,1.78,1.92,-19.46,-814.11,106.22,Rest,6,1081.35,-293.73,4,-2129.44,-12.77,Low,13403.94,303.17
207.34,0.16,11.7,1.15,-9.04,-642.84,52.56,UK,4,406.17,-253.35,6,-1947.38,-23.09,High,26231.34,796
0.05,-2.75,3.76,3.87,-6.08,-675.42,157.06,UK,5,572.82,-435.84,8,-1697.76,-21.1,Very low,23065.44,1312.62
20.71,-1.61,4.08,2.55,-7.88,-949.68,119.96,USA,1,710.73,-290.04,2,-2863.92,-15.82,Medium,22363.56,0
0.01,-1.39,10.32,1.98,-17.74,-821.58,247.46,Rest,3,704.34,-349.62,6,-1572.24,-23.31,Very high,18256.26,3763.35
367.38,-4.13,4.74,7.87,-7.52,-1038.24,166.34,UK,3,1418.34,-404.97,4,-2087.78,-14.35,Medium,25382.19,2177.47
39.44,-0.81,1.06,4.49,-9.5,-721.71,54.1,Rest,2,1095.36,-327.69,10,-1456.6,-11.84,High,37462.92,0
0.04,8.67,5.14,3.17,-6.3,-792.78,12.14,USA,2,2205.03,-503.73,6,-2046.16,-17.07,Low,25017.54,0
0.32,1.74,15.88,4.74,-13.84,-945.36,128.14,USA,4,1389.78,-276.93,10,-2762.2,-16.74,Very low,27914.49,506.71
0.14,-2.6,6.56,5.46,-3.1,-937.8,153.46,UK,4,1873.26,-299.73,18,-2543.96,-21.58,Medium,-7414.08,0
0.03,-0.6,11.04,3.29,-11.16,-817.05,141.52,USA,0,1276.32,-392.67,6,-2696.24,-22.3,Low,19730.64,78.22
2.92,3.19,4.9,3.78,-16.56,-741.84,131.64,USA,1,2966.34,-315.42,6,-1501.26,-27.65,Medium,32465.01,79.01
130.13,0.39,22.48,0.14,-14.06,-665.37,127.72,USA,2,2525.61,-311.79,10,-1453.08,-20.46,Very high,23067.93,1218.48
0.2,1.89,3.94,5.28,-7.36,-795.72,93.18,UK,3,868.14,-459.21,6,-2786.44,-20.92,High,39685.26,0
0.56,1.84,13.02,7.81,-2.7,-694.08,134.56,Rest,5,1024.29,-325.05,14,-2393.1,-29.98,Very high,27881.19,3284.12
0.43,0.66,9.04,2.39,-4.4,-886.47,65.26,UK,6,941.16,-503.82,12,-2861.78,-19.15,High,12484.47,0
0.69,0.03,4.8,6.6,8.24,-1044.69,79.84,Rest,4,27.3,-306.63,12,-2033.78,-22.46,Very high,-1557.99,1648.66
0.82,2.03,6.88,1.41,-2.56,-791.55,93.02,Europe,5,3214.29,-313.41,8,-3455.62,-16.89,Very low,23821.26,0
28.89,-5.28,9.78,2.49,-4.66,-1086.24,-6.56,UK,4,1279.29,-195.63,2,-1948.76,-19.6,Low,28013.61,0
0.15,4.72,1.36,4.4,-11,-1031.04,249.6,UK,6,-70.59,-442.26,2,-2105.24,-18.96,Very low,26433.63,2770.82
0.55,2.52,24.46,6.51,5.72,-766.59,165.54,USA,2,1219.26,-346.62,10,-2010.24,-20.4,Low,32250.45,2069.94
7.86,-6.48,10.58,4.41,-9.08,-800.46,123.24,Rest,3,271.8,-273.78,6,-2258.84,-21.56,Low,38775.96,1828.64
0.43,-3.78,3.34,9.33,-7.22,-817.38,154.94,USA,6,-95.07,-359.97,14,-2478.22,-23.82,Very high,22284.51,1704.17
0.11,0.41,6.48,2.29,-18.72,-886.53,56.5,Rest,6,347.37,-258.24,2,-2235.46,-18.78,Low,26295.69,789.74
1.43,1.54,6.54,3.17,-16.08,-873.96,126.62,Europe,2,709.47,-274.89,6,-1851.86,-21.13,Low,2934.84,238.58
296.39,3.1,0.48,2.12,-2.52,-781.08,56.08,Rest,6,1861.44,-242.1,2,-1830.26,-22.44,Low,28953.87,0
6.27,-0.06,6.5,3.43,-3.64,-759.51,111.84,Rest,6,1211.19,-287.64,4,-2407.76,-17.09,Medium,51758.01,1398.09
25.56,1.61,27.2,2,-4.96,-648.45,155.02,Rest,1,867.63,-320.97,8,-2577.88,-20.16,Low,11471.73,2831.17
4.19,-0,24.14,2.54,-7.86,-610.74,128.92,Europe,1,1402.35,-426.54,12,-1807.7,-22.01,Very low,31876.65,376.97
0.51,-0.24,11.4,3.1,-9.5,-894.84,137.52,UK,2,1717.95,-325.89,12,-1573.58,-18.92,Very low,19879.14,0
23.3,0.99,5.92,0.78,-7.16,-842.19,176.38,Rest,2,1602.45,-447.09,8,-1781.76,-19.98,Low,11883.63,140.26
0.9,4.49,6.64,4.56,-12.68,-481.8,192.18,Europe,4,976.08,-357.3,8,-1711.78,-17.96,Very high,25489.38,1129.01
1.2,-2.67,16.22,0.61,-16.68,-827.7,190.62,Rest,3,568.14,-432.27,8,-1408.98,-22.08,Very high,15228.93,3721.75
1.22,-2.08,0.86,3.47,0.08,-630.21,56.36,Rest,7,1521.72,-381.51,6,-1812,-20.68,Low,22294.47,33.15
0.64,1.26,13.16,4.35,-12.04,-868.89,98.94,Rest,4,-626.37,-369.96,4,-3133.1,-15.15,Very low,24051.75,1454.28
1.32,0.74,23.72,0.87,-4.06,-1177.44,150.06,Rest,4,336,-462.96,2,-1198.1,-20.09,Medium,23508.39,3790
35.84,-5.5,6.54,2.69,-8.06,-717.12,139.86,Rest,2,2400.51,-311.46,4,-2015.72,-23.58,Very low,25405.53,0
1.02,0.95,0.54,3.45,-0.66,-814.35,138.34,Europe,4,2092.83,-226.2,8,-2774.8,-20.37,Medium,45226.74,0
1.59,-3.95,15.36,4.32,-22.98,-911.19,133.12,Europe,4,-668.16,-405.81,6,-1230.46,-22.42,Low,21083.13,1569.48
0,-1.75,12.66,4,-4.72,-869.01,86.34,USA,6,2078.49,-199.23,10,-1394.78,-20.05,Medium,26044.41,1096.39
0.47,0.28,9.38,5.24,-9.06,-832.98,167.22,Rest,2,801.42,-457.98,4,-1356.84,-14.81,Very low,57238.08,3250.75
9.21,-9.34,9.2,2.08,-12.86,-813.27,53.52,UK,1,716.97,-345.96,2,-2101.4,-21.94,Low,28675.2,0
7.78,0.93,15.86,7.62,0.34,-925.56,120.88,UK,6,812.85,-301.17,8,-2408.3,-19.9,Very low,43839.51,2418.52
0,1.86,2.7,4.06,1.62,-718.38,24.9,Europe,5,563.88,-265.05,6,-3023.48,-18.31,Very low,27360.69,0
0.51,-5.45,27.38,0.71,-17.62,-899.37,140,Europe,3,2156.25,-425.43,8,-2956.2,-20.02,Medium,24099.3,456.27
2.45,-1.98,10.08,9.88,-11.6,-863.07,152.7,Rest,3,2653.92,-364.47,8,-2582.86,-19.37,Medium,31767.69,1879.29
2.1,-6.17,45.14,5.4,-12.78,-765.18,158.04,Europe,3,845.79,-419.28,4,-1728.32,-20.45,Low,19687.2,3246.86
0.03,-4.1,1.82,1.48,-7.66,-779.64,41.42,Rest,3,2061.33,-352.74,14,-2407.72,-12.22,Very high,11038.77,0
0.07,0.66,7.74,3.84,-10.08,-846.96,114.06,Europe,0,2147.64,-370.44,10,-3522.14,-19.85,Very low,23295.3,0
28.1,4.62,15.04,3.01,-11.7,-770.43,78.04,Europe,4,1704.57,-206.85,20,-2958.16,-18.09,Very low,26615.49,0
0.24,-0.89,3.7,6.74,-12.8,-884.58,164.28,Europe,4,1321.98,-249.42,8,-2803.98,-20.38,Medium,23859,300.75
0.02,-3.45,5.5,1.65,-3.6,-816.12,149.08,Europe,7,669.36,-128.4,6,-661.1,-20.8,High,24272.22,1395.28
0.01,-0.08,13.3,2.97,-8.98,-773.76,137.62,Europe,2,1597.35,-391.68,4,-2199.52,-18.62,Very high,809.88,700.59
