F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,Class
-2.13,1.26,675,4.02,20,33.06,-6.5,122.86,10.15,5.23,-14.42,-36.32,23.1,40.86,-9.23,True
18.12,1.46,6,-10.9,2,20.88,-0.94,96.86,0.9,11.35,-26.8,-23.32,1.23,-271.14,-7.12,False
12.69,0.78,84,-4.92,2,20.88,3.96,105.86,1.73,10.34,-24.58,-25.32,0.99,-169.14,,True
12.3,2.33,99,-4.44,2,21.6,2.64,105.86,0.72,10.78,-24.74,-23.32,0.27,-166.14,-6.97,False
15.39,1.25,12,-6.52,2,20.6,2.66,94.86,1.52,11.28,-24.26,-23.32,0.39,-199.14,,False
15.27,1.31,84,-3.42,2,21.24,3.36,119.86,1.51,10.28,-28.58,-24.32,2.79,-214.14,,True
8.94,1.24,30,1.68,20,31.56,-7.68,212.86,9.75,8.08,-16.86,-46.32,16.65,40.86,,False
12.3,0.98,69,-4.38,2,21.76,-0.28,91.86,0.77,10.05,-27.66,-22.32,2.28,-214.14,-8.65,True
10.92,1.89,1140,6.9,20,34.86,-10.12,87.86,9.6,4.67,-12.84,-26.32,28.95,-364.14,,False
18.42,1.73,93,-6.26,2,20.6,5.16,117.86,1.56,10.51,-26.36,-23.32,1.77,-268.14,,False
1.23,1.83,150,5.54,20,33.46,-9.66,172.86,6.05,5.31,-14.2,-26.32,30.75,-394.14,-9.33,True
4.65,-0.61,330,1.5,20,32.26,1.88,277.86,6,6.72,-18.92,-36.32,16.95,115.86,-6.81,False
5.07,-0.61,390,2.92,20,30.86,-6.82,142.86,9.2,7,-16.46,-46.32,18.45,-184.14,-6.36,False
12.18,0.52,21,-3.38,2,21,-1.1,80.86,1.43,10.26,-25.34,-25.32,2.37,-178.14,,True
13.26,1.16,195,-3.88,2,21.12,-0.44,103.86,1.49,9.84,-25.8,-23.32,2.79,-238.14,-8.96,True
13.98,4.35,216,-5.22,2,21.16,-0.4,112.86,1.97,11.52,-26.3,-23.32,2.73,-181.14,-9.27,True
2.82,-0.54,150,1.22,20,33.16,-1.18,277.86,10.65,6.59,-24.16,-26.32,16.05,-304.14,-7.09,False
-3.9,0.84,600,7.12,20,37.46,-7.66,232.86,6.05,5.26,-17.88,-36.32,26.1,-214.14,-9.35,True
15.57,1.43,39,-5.82,2,19.98,1.14,112.86,1.49,10.38,-25.82,-23.32,1.35,-166.14,,False
7.53,0.75,720,3.34,20,31.56,-6.82,192.86,11.5,6.5,-18.34,-26.32,16.95,-379.14,,False
12.93,0.86,72,-5.2,2,21.18,0.18,82.86,1.54,9.97,-24.02,-25.32,2.16,-190.14,-8.84,True
-0.06,0,780,3.7,20,28.96,-9.36,82.86,7.75,5.55,-16.56,-36.32,27.45,-79.14,,True
31.17,1.02,84,-5.44,2,20.54,3.1,92.86,0.92,11.18,-24.06,-25.32,2.01,-175.14,,False
14.01,1.19,102,-17.74,2,20.94,2.18,92.86,0.99,10.95,-32.66,-23.32,1.98,-256.14,-9.85,True
3.06,0.96,825,0.86,20,34.06,-8,287.86,7.4,7.3,-17.7,-36.32,16.35,-244.14,-6.24,False
15.03,1.69,90,-3.64,2,20.62,0.46,114.86,1.69,10.13,-27.12,-23.32,2.85,-160.14,,True
6.54,1.51,690,5.4,20,37.86,-10.44,187.86,7.4,5.71,-16.18,-26.32,16.65,-244.14,-7.88,True
13.62,0.54,18,-3.78,2,21.06,-0.72,83.86,0.87,11.19,-26.02,-23.32,0.57,-175.14,-8.54,True
16.8,1.38,21,-4.4,2,21.26,-1.02,83.86,0.78,11.71,-26.02,-23.32,0.27,-199.14,-7.12,False
3.9,2.49,900,6.5,20,39.36,-10.3,87.86,9.8,5,-13.08,-26.32,20.1,-409.14,,True
0.36,0.88,720,4.74,20,31.76,-7.26,127.86,9.5,6.98,-18.12,-36.32,20.1,-394.14,-6.24,False
-1.14,1.54,705,4.82,20,35.96,-9.44,112.86,7.95,7.28,-19.48,-26.32,19.2,-454.14,,False
13.8,1.71,75,-2.94,2,21.28,-0.42,79.86,0.22,11.94,-26.66,-23.32,2.76,-208.14,-8.78,True
16.26,0.94,30,-7.2,2,20.86,5.5,91.86,0.85,10.46,-25.5,-23.32,0.84,-259.14,-7.54,False
17.85,1.56,66,-8.46,2,21.38,3.5,86.86,0.65,9.98,-24.26,-23.32,0.48,-163.14,-7.29,False
0.87,0.71,1005,-1.58,20,33.76,-7.64,307.86,6.55,5.95,-16.96,-36.32,22.5,70.86,-7.02,False
14.4,1.55,57,-4.52,2,20.98,1.5,82.86,0.24,10.19,-23.46,-23.32,1.74,-253.14,,True
16.62,0.93,24,-4.82,2,19.72,0.14,106.86,1.62,10.42,-26.3,-23.32,2.55,-262.14,,False
20.61,1.55,48,-4.58,2,21.36,-1.02,105.86,0.7,11.94,-24.3,-23.32,0.93,-193.14,-7.15,False
12.09,2.09,90,-4.74,2,20.68,1.42,81.86,0.54,9.85,-24.94,-25.32,2.73,-205.14,,True
12.75,0.97,183,-5.48,2,21.02,2.06,102.86,1.68,12.1,-24.4,-23.32,1.62,-163.14,,False
15.57,0.72,18,-7.32,2,20.5,-0.72,97.86,0.95,11.48,-28.26,-23.32,2.19,-175.14,,False
16.53,1.04,30,-5.02,2,20.28,-0.42,90.86,1.38,10.79,-26.04,-23.32,1.53,-190.14,,False
4.35,0.05,150,0.52,20,34.06,-8.88,292.86,6.25,6.43,-19.7,-36.32,18.45,-424.14,-6.45,False
18.99,3,159,-4.88,2,21.46,1.5,95.86,1.38,10.7,-23.52,-23.32,1.83,-166.14,-7.97,True
18.48,1.3,120,-7.74,2,21.1,0.2,110.86,1.78,9.94,-24.52,-21.32,2.85,-268.14,-9.6,True
13.26,2.38,210,-3.88,2,20.92,0.12,83.86,1.76,10.24,-27.14,-25.32,0.06,-169.14,,False
14.25,0.84,15,-3.58,2,21.48,2.58,94.86,1.4,10.03,-27.44,-23.32,0.96,-274.14,-8.17,True
22.17,1.31,84,-7.62,2,21.06,0.6,93.86,0.84,10.93,-26.82,-23.32,1.74,-256.14,-8.99,True
1.53,2.38,270,2.72,20,35.26,-9.72,202.86,8.15,5.54,-14.64,-26.32,17.85,-244.14,-9.05,True
17.13,1.44,39,-12.12,2,21.4,-1.18,108.86,1.26,9.97,-25.3,-23.32,2.85,-175.14,-8.38,True
3.06,1.53,300,1.76,20,31.96,-7.76,242.86,8.95,7.47,-16.42,-36.32,19.5,-394.14,-7.37,False
1.95,1.35,1005,2.52,20,34.16,-10.36,172.86,6.25,6.23,-16.68,-36.32,23.7,-289.14,,False
-1.71,1.9,495,2.98,20,31.36,-10.04,97.86,5.95,5.59,-23.8,-36.32,23.1,-499.14,,False
20.13,1.69,18,-5.64,2,21.16,0.1,83.86,0.61,11.69,-23.98,-25.32,1.17,-205.14,,True
3.69,0.99,1080,-1.78,20,30.66,-4.24,177.86,7.55,8.75,-17.54,-41.32,17.85,-199.14,-6.7,False
-1.98,1.88,1155,5.82,20,34.26,-9.18,282.86,14.9,9.01,-15.9,-26.32,25.5,-214.14,-7.18,False
0.78,-0.45,300,3.86,20,32.16,-3.9,192.86,13.6,5.93,-19.24,-36.32,18.9,-409.14,-6.61,False
-2.4,0.34,495,5.24,20,33.46,-11.16,157.86,8.95,4.77,-17.04,-36.32,29.4,-409.14,-9.38,True
6.81,1.04,165,4.46,20,32.26,-6.44,277.86,6.95,6.92,-14.58,-26.32,27.75,-364.14,-7.3,False
12.75,2.12,51,-4.02,2,20.78,-1.04,96.86,1.63,10.97,-24.84,-23.32,2.13,-268.14,,False
13.17,1.59,102,-12.14,2,21.5,3.5,100.86,0.81,10.31,-26.22,-23.32,2.34,-265.14,,True
13.5,1.47,102,-5.3,2,21.26,-0.22,102.86,1.02,10.75,-23.68,-23.32,1.14,-193.14,,False
-1.23,0.89,300,5.92,20,32.46,-10.26,212.86,5.75,5.37,-15.46,-36.32,28.35,-214.14,,True
0.9,0.25,570,2.22,20,31.76,-4.46,172.86,13.55,7.23,-16.92,-26.32,17.7,-454.14,,False
14.34,4.13,6,-4.92,2,19.68,5.44,109.86,1.34,12.77,-24.38,-23.32,1.23,-166.14,-6.7,False
2.85,1.72,645,5.96,20,39.46,-11.34,232.86,8.25,6.06,-16.38,-36.32,19.65,-244.14,-8.5,True
17.19,1.64,24,-4.9,2,19.7,6.92,111.86,1.43,11.2,-24.6,-25.32,1.77,-166.14,-7.8,True
3.18,2.56,570,3.42,20,33.76,-5.14,97.86,5.15,6.42,-14.16,-36.32,24.15,-349.14,-7.57,True
2.13,-0.02,330,6.2,20,30.96,-8.96,152.86,6.95,5.29,-14.52,-36.32,28.8,-94.14,-9.59,True
13.29,1.67,63,-5.54,2,20.24,-0.58,111.86,1.62,10.11,-27.68,-23.32,2.88,-235.14,,False
16.11,2.09,30,-3.58,2,20.52,-1.02,90.86,1.77,12.55,-23.9,-21.32,3.06,-217.14,-8.42,True
12.78,3,21,-3.98,2,21,0.6,99.86,0.5,10.2,-24.38,-21.32,2.1,-220.14,,True
17.25,0.66,75,-3.42,2,21.54,3.58,115.86,1.65,10.87,-27.8,-23.32,1.62,-160.14,,True
21.27,0.75,48,-3.68,2,20.62,4.12,122.86,2.07,12.6,-26.46,-23.32,2.34,-181.14,-8.74,True
13.5,1.8,9,-11.52,2,19.9,6.04,77.86,2.13,11.04,-25.24,-21.32,2.73,-259.14,-6.98,False
13.26,0.7,6,-8.54,2,20.06,2.66,89.86,0.12,11.48,-29.86,-25.32,1.74,-172.14,-7.06,False
19.74,1.21,48,-3.76,2,21,1.22,107.86,0.97,10.87,-27.16,-25.32,2.58,-208.14,-9.02,True
16.11,1.17,51,-7.94,2,21.16,-0.2,109.86,0.3,10.56,-24.2,-23.32,2.91,-211.14,-9.66,True
16.59,3,105,-3.6,2,21.64,-0.94,112.86,1.57,14.86,-26.86,-23.32,1.08,-259.14,-8.85,True
-0.9,2.38,660,5.5,20,34.16,-7.44,177.86,7.35,5.16,-14.12,-26.32,21.75,-454.14,-6.63,False
2.31,1.81,1110,4.62,20,30.66,-9.78,72.86,6.35,5.94,-20.4,-26.32,29.4,-454.14,,False
12.69,1.46,60,-6.36,2,20.44,0.32,89.86,1.95,10.02,-24.58,-23.32,2.82,-178.14,-9.3,True
16.38,1.94,177,-6.16,2,20.94,4.88,122.86,1.91,12.23,-29.12,-23.32,1.02,-190.14,,False
-1.68,1.41,870,4.66,20,34.06,-9.52,192.86,5.9,7.08,-20.14,-36.32,20.1,-394.14,,False
14.46,2.42,15,-4.7,2,20.26,0.26,111.86,0.58,10.41,-24.56,-25.32,1.86,-184.14,,False
-3.12,1.68,885,6.92,20,39.56,-9.74,277.86,5.65,5.49,-15.38,-26.32,25.2,-409.14,-7.8,False
-1.23,2.41,510,3.28,20,35.36,-9.86,277.86,8.2,7.6,-16.4,-36.32,23.25,10.86,-9.67,True
12.3,2.84,174,-5.94,2,21.18,2.36,83.86,1.32,10.99,-25.56,-23.32,2.43,-241.14,,True
2.7,1.78,1110,3.26,20,30.26,-6.2,267.86,7.15,6.61,-16.38,-36.32,27.3,-259.14,,False
14.91,0.8,96,-4.94,2,19.56,-0.38,103.86,1.86,10.59,-24.46,-25.32,1.38,-199.14,,False
3.69,0.74,1140,1.76,20,32.06,-1.88,287.86,14.25,6.62,-21.46,-26.32,20.25,-229.14,-6.86,False
8.85,0.67,285,0.94,20,30.66,3.38,117.86,10.45,6.84,-20.82,-36.32,16.05,-124.14,-6.31,False
1.29,2.53,570,7.74,20,39.56,-10.22,232.86,6.35,6.33,-13.82,-26.32,26.55,-409.14,,True
-0.84,1.62,495,5.66,20,38.06,-10.02,292.86,8.1,5.42,-18.7,-26.32,16.35,-394.14,-7.71,False
17.55,2.28,27,-7.16,2,20.28,1.62,107.86,1.59,10.48,-24.88,-23.32,2.82,-163.14,-8.96,True
7.17,-0.01,450,-3.48,20,30.96,-6.04,197.86,5.85,7.41,-17.4,-36.32,15.75,-79.14,,False
-1.56,0.79,975,3.66,20,30.36,-10.7,77.86,5.5,5.56,-17.02,-46.32,27.75,-124.14,-8.98,True
23.28,1.76,129,-9.02,2,21.46,-1.12,88.86,0.56,10.45,-24.64,-23.32,2.46,-175.14,,True
0.93,1.13,360,-0.42,20,31.76,-9.28,167.86,7.95,5.9,-16.94,-26.32,21,-454.14,-6.96,False
15.48,0.75,117,-5.7,2,20.68,7.74,111.86,1.84,10.48,-25.32,-23.32,0.54,-184.14,-7.23,False
0.87,2.74,570,-3.72,20,30.46,-3.2,222.86,8.2,6.58,-15.46,-26.32,28.2,-334.14,-6.35,False
5.82,0.61,375,-1.44,20,30.36,-4.4,277.86,7.7,8.06,-22.36,-26.32,16.8,-229.14,,False
-0.93,1.78,1020,3.52,20,33.76,-7.62,237.86,7.95,5.55,-14.38,-36.32,22.65,-364.14,,False
2.07,0.9,645,5.76,20,34.16,-7.42,177.86,9.85,6.36,-15.76,-26.32,22.65,-289.14,-8.75,True
22.89,0.95,72,-4.78,2,20.72,1.48,93.86,1.3,9.94,-27.16,-21.32,2.82,-253.14,-8.8,True
15.78,0.87,48,-5.96,0,20.9,0.28,105.86,0.38,10.83,-25.62,-25.32,0.3,-154.14,,True
13.77,0.97,123,-7.94,2,21.34,-0.66,97.86,0.83,10.71,-25.32,-25.32,0.45,-199.14,,False
15.18,1.43,213,-4.22,2,20,1.66,78.86,2.08,10.64,-26.84,-25.32,2.64,-184.14,-7.48,False
13.02,0.61,9,-3.92,2,20.16,-0.34,88.86,0.4,11.74,-25.82,-25.32,2.58,-175.14,,True
1.08,0.25,510,1.88,20,31.66,-6.62,212.86,12.8,8.69,-20.02,-26.32,21.45,-379.14,-6.72,False
4.29,1.71,270,-8.06,20,32.96,-7.64,272.86,7.4,6.49,-19.1,-46.32,20.1,25.86,-7.67,False
12.54,2.28,156,-4.78,0,21.14,-0.82,89.86,1.52,12.67,-24.32,-23.32,0.48,-172.14,,True
13.65,1.34,0,-3.9,2,21.24,2.36,109.86,0.83,9.9,-23.8,-20.32,2.16,-259.14,,True
0.45,0.74,1065,3.9,20,33.76,-8.18,192.86,10.95,5.75,-14.84,-36.32,17.85,-184.14,-7.45,False
1.92,1.7,375,4.96,20,35.86,-8.82,197.86,6.85,10.91,-14.02,-36.32,22.95,-424.14,-8.33,True
4.41,1.91,600,1.64,20,28.96,-4.92,277.86,6.35,7.85,-19.1,-46.32,22.95,40.86,-6.39,False
12.9,2.02,81,-6.1,2,21.14,-0.42,103.86,0.86,11.29,-27.6,-23.32,0.87,-205.14,,False
7.23,0.95,1050,3.32,20,32.36,-9.12,117.86,13.9,7.14,-15.14,-36.32,17.25,-94.14,,False
-0.36,3.36,345,5.82,20,34.46,-6.4,82.86,6.35,5.02,-14.46,-26.32,19.65,-364.14,,True
-3.12,-0.15,105,1.3,20,38.16,-10.04,182.86,5.8,5.43,-13.5,-26.32,15.9,-214.14,-8.96,True
0.72,2.14,975,5.16,20,36.06,-9.54,257.86,7.05,5.96,-14.8,-36.32,16.05,-154.14,-6.68,False
2.22,2.6,135,2.76,20,30.66,-6.72,287.86,5.3,6.6,-17.28,-36.32,22.65,-499.14,,False
14.94,0.85,96,-8.72,2,20.24,-0.92,89.86,0.23,11.37,-23.92,-25.32,2.82,-166.14,,False
1.68,-0.55,150,-4.3,20,34.36,-10.62,157.86,5.75,5.91,-14.24,-36.32,19.2,-34.14,-8.55,True
-2.97,2.13,765,7.48,20,39.06,-11.68,92.86,8.45,5.19,-16.02,-26.32,15.75,-229.14,-9.42,True
23.43,1.52,6,-6.38,2,21.26,2.42,77.86,1.39,16.71,-28.34,-25.32,0.48,-181.14,,True
12.81,1.81,27,-3.16,2,20.9,-0.3,84.86,0.54,10.85,-23.5,-21.32,2.55,-268.14,,True
-3,1.2,555,5.88,20,37.56,-11.32,207.86,9.4,6.11,-15.94,-36.32,20.25,-334.14,,True
6.15,1,825,3.02,20,32.26,-7.24,112.86,13.95,8.77,-15.68,-26.32,16.05,-454.14,-6,False
14.34,1.16,42,-6,2,20.58,5.58,95.86,1.77,10.78,-23.74,-21.32,2.22,-268.14,,False
0.69,1.09,945,3.12,20,29.76,-6.24,182.86,13.1,7.14,-16,-36.32,24.75,-319.14,,False
16.68,1.1,21,-4.9,2,20.46,2.06,91.86,0.53,10.52,-28.38,-23.32,3.06,-208.14,,False
1.14,0.97,930,3.36,20,36.86,-10.12,157.86,11.6,5.96,-15.14,-36.32,19.35,-304.14,-8.92,True
-0.72,0.5,225,4.7,20,36.16,-8.98,262.86,8.5,5.9,-16.6,-26.32,17.85,-424.14,,False
7.71,0.06,285,0.38,20,30.66,-5.48,247.86,6.45,7.99,-18.66,-46.32,15.75,-79.14,-6.54,False
0.36,-0.16,855,4.9,20,29.76,-10.1,132.86,5.65,6.44,-16.4,-46.32,27.6,10.86,,True
4.02,-0.72,150,3.02,20,31.96,-8.44,262.86,9.85,8.22,-16.56,-36.32,25.8,-319.14,,True
-1.47,4.15,1050,6.92,20,38.56,-7.22,227.86,5.35,6.2,-14.1,-26.32,24.6,-394.14,,False
1.44,2,975,5.84,20,30.46,-2.8,152.86,6.8,5.4,-15.46,-36.32,27.45,10.86,-7.32,False
2.19,-0.6,1080,3.22,20,31.26,-4.54,282.86,14.2,6.76,-16.12,-36.32,26.1,-4.14,,False
15.99,1.44,54,-8.8,2,21.48,0.62,95.86,0.4,10.01,-24.3,-25.32,0.54,-187.14,-7.18,False
2.73,0.27,90,3.68,20,30.16,-6.7,97.86,9.8,6.16,-28.56,-36.32,20.55,-49.14,,False
-0.48,-0.49,255,4.22,20,32.86,-4.36,227.86,6.3,6.46,-18.58,-46.32,23.85,-109.14,-7.66,False
23.34,0.85,21,-3.74,2,21.78,1.72,80.86,0.36,9.94,-25.3,-23.32,0.69,-190.14,-7.87,True
0.57,0.25,315,3.9,20,37.26,-9.08,312.86,10.45,6.29,-15.14,-26.32,17.7,-259.14,,True
14.13,1.97,48,-5.92,2,21.58,2.36,120.86,0.62,10.7,-24.76,-23.32,1.8,-199.14,-8.65,False
4.77,1.29,390,4.9,20,36.36,-10.2,72.86,5.1,5.67,-12.32,-26.32,27.75,-454.14,-9.45,True
13.26,0.78,27,-5.04,2,21.36,7.06,95.86,0.57,10.96,-23.66,-23.32,0.69,-166.14,-7.94,True
4.32,1.35,180,2,20,30.16,-7.36,212.86,7.75,6.61,-21.02,-46.32,20.1,10.86,-7.35,False
3.75,0.42,300,1.42,20,32.76,-1.6,302.86,10.95,6.83,-16.7,-36.32,20.25,-259.14,-7.16,False
13.2,0.89,42,-3.68,2,21.6,-0.66,99.86,1.66,10.93,-27.96,-23.32,2.85,-166.14,-9.22,True
-2.67,3.79,975,6.18,20,31.56,-10.66,92.86,6.25,9.33,-17.22,-36.32,29.55,-409.14,,False
0.42,0.23,825,5.34,20,36.36,-7.18,222.86,8.65,7.27,-19.08,-46.32,17.7,-154.14,-8.78,True
1.14,1.4,945,5.36,20,33.96,-11.44,132.86,6.25,6.29,-14.88,-36.32,28.35,-274.14,-8.27,True
12.18,1.96,54,-3.74,2,20.86,1.4,91.86,0.64,11.65,-25.1,-21.32,2.01,-235.14,,True
15.96,0.49,39,-6.84,2,20.88,0.16,118.86,1.94,15.2,-25.22,-23.32,2.34,-184.14,,True
0.57,0.37,840,4.72,20,31.56,-8.76,277.86,9.45,7.79,-18.9,-36.32,25.2,-259.14,-6.49,False
